Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Guadalajara,1995,3,1995T3,675.4
Huelva,1995,3,1995T3,506.0
Huesca,1995,3,1995T3,446.1
Jaén,1995,3,1995T3,388.6
León,1995,3,1995T3,541.1
Lleida,1995,3,1995T3,498.2
Lugo,1995,3,1995T3,430.5
Madrid (Comunidad de),1995,3,1995T3,1086.2
Murcia (Región de),1995,3,1995T3,429.7
Málaga,1995,3,1995T3,488.8
Navarra (Comunidad Foral de),1995,3,1995T3,759.6
Ourense,1995,3,1995T3,612.7
Palencia,1995,3,1995T3,529.6
Palmas (Las),1995,3,1995T3,606.9
País Vasco,1995,3,1995T3,926.5
Pontevedra,1995,3,1995T3,595.4
Rioja (La),1995,3,1995T3,594.2
Salamanca,1995,3,1995T3,649.4
Santa Cruz de Tenerife,1995,3,1995T3,580.0
Segovia,1995,3,1995T3,657.5
Sevilla,1995,3,1995T3,499.7
Soria,1995,3,1995T3,692.5
TOTAL NACIONAL,1995,3,1995T3,682.6
Tarragona,1995,3,1995T3,482.5
Teruel,1995,3,1995T3,469.6
Toledo,1995,3,1995T3,461.6
Valencia/València,1995,3,1995T3,472.2
Valladolid,1995,3,1995T3,667.0
Zamora,1995,3,1995T3,521.2
Zaragoza,1995,3,1995T3,635.9
Ávila,1995,3,1995T3,606.7
Albacete,1995,4,1995T4,462.7
Alicante/Alacant,1995,4,1995T4,471.0
Almería,1995,4,1995T4,446.5
Andalucía,1995,4,1995T4,514.7
Araba/Alava,1995,4,1995T4,900.8
Aragón,1995,4,1995T4,597.5
Asturias (Principado de ),1995,4,1995T4,636.6
Badajoz,1995,4,1995T4,389.3
Balears (Illes),1995,4,1995T4,599.2
Barcelona,1995,4,1995T4,890.5
Bizkaia,1995,4,1995T4,885.1
Burgos,1995,4,1995T4,708.3
Canarias,1995,4,1995T4,607.5
Cantabria,1995,4,1995T4,735.4
Castellón/Castelló,1995,4,1995T4,479.2
Castilla y León,1995,4,1995T4,635.3
Castilla-La Mancha,1995,4,1995T4,512.4
Cataluña,1995,4,1995T4,754.3
Ciudad Real,1995,4,1995T4,444.2
Comunidad Valenciana,1995,4,1995T4,490.0
Coruña (A),1995,4,1995T4,689.3
Cuenca,1995,4,1995T4,438.6
Cáceres,1995,4,1995T4,420.3
Cádiz,1995,4,1995T4,507.8
Córdoba,1995,4,1995T4,502.0
Extremadura,1995,4,1995T4,400.6
Galicia,1995,4,1995T4,607.4
Gipuzkoa,1995,4,1995T4,969.7
Girona,1995,4,1995T4,581.4
Granada,1995,4,1995T4,471.9
Guadalajara,1995,4,1995T4,644.7
Huelva,1995,4,1995T4,526.5
Huesca,1995,4,1995T4,462.3
Jaén,1995,4,1995T4,387.8
León,1995,4,1995T4,528.1
Lleida,1995,4,1995T4,490.5
Lugo,1995,4,1995T4,456.5
Madrid (Comunidad de),1995,4,1995T4,1115.0
Murcia (Región de),1995,4,1995T4,428.4
Málaga,1995,4,1995T4,519.3
Navarra (Comunidad Foral de),1995,4,1995T4,721.3
Ourense,1995,4,1995T4,591.6
Palencia,1995,4,1995T4,563.2
Palmas (Las),1995,4,1995T4,613.1
País Vasco,1995,4,1995T4,904.5
Pontevedra,1995,4,1995T4,596.7
Rioja (La),1995,4,1995T4,631.9
Salamanca,1995,4,1995T4,673.4
Santa Cruz de Tenerife,1995,4,1995T4,601.1
Segovia,1995,4,1995T4,615.0
Sevilla,1995,4,1995T4,496.9
