Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
"Navarra, Comunidad Foral de",1996,4,1996T4,741.2
País Vasco,1996,4,1996T4,970.5
"Rioja, La",1996,4,1996T4,599.8
Comunitat Valenciana,1996,4,1996T4,489.5
Andalucía,1997,1,1997T1,509.2
Aragón,1997,1,1997T1,581.1
"Asturias, Principado de",1997,1,1997T1,677.9
"Balears, Illes",1997,1,1997T1,627.5
Canarias,1997,1,1997T1,647.2
Cantabria,1997,1,1997T1,753.2
Castilla y León,1997,1,1997T1,640.2
Castilla-La Mancha,1997,1,1997T1,519.5
Cataluña,1997,1,1997T1,781.3
Comunitat Valenciana,1997,1,1997T1,515.6
Extremadura,1997,1,1997T1,413.1
Galicia,1997,1,1997T1,607.4
"Madrid, Comunidad de",1997,1,1997T1,1054.8
"Murcia, Región de",1997,1,1997T1,437.1
"Navarra, Comunidad Foral de",1997,1,1997T1,744.3
País Vasco,1997,1,1997T1,938.7
"Rioja, La",1997,1,1997T1,629.1
Comunitat Valenciana,1997,1,1997T1,500.6
Andalucía,1997,2,1997T2,516.1
Aragón,1997,2,1997T2,581.1
"Asturias, Principado de",1997,2,1997T2,685.0
"Balears, Illes",1997,2,1997T2,648.3
Canarias,1997,2,1997T2,674.7
Cantabria,1997,2,1997T2,775.9
Castilla y León,1997,2,1997T2,648.8
Castilla-La Mancha,1997,2,1997T2,524.2
Cataluña,1997,2,1997T2,787.1
Comunitat Valenciana,1997,2,1997T2,519.7
Extremadura,1997,2,1997T2,416.5
Galicia,1997,2,1997T2,622.3
"Madrid, Comunidad de",1997,2,1997T2,1041.7
"Murcia, Región de",1997,2,1997T2,442.1
"Navarra, Comunidad Foral de",1997,2,1997T2,794.8
País Vasco,1997,2,1997T2,953.4
"Rioja, La",1997,2,1997T2,611.0
Comunitat Valenciana,1997,2,1997T2,505.5
Andalucía,1997,3,1997T3,510.6
Aragón,1997,3,1997T3,585.6
"Asturias, Principado de",1997,3,1997T3,695.0
"Balears, Illes",1997,3,1997T3,640.8
Canarias,1997,3,1997T3,676.2
Cantabria,1997,3,1997T3,771.1
Castilla y León,1997,3,1997T3,646.3
Castilla-La Mancha,1997,3,1997T3,539.6
Cataluña,1997,3,1997T3,792.9
Comunitat Valenciana,1997,3,1997T3,522.4
Extremadura,1997,3,1997T3,403.9
Galicia,1997,3,1997T3,618.8
"Madrid, Comunidad de",1997,3,1997T3,1052.2
"Murcia, Región de",1997,3,1997T3,445.8
"Navarra, Comunidad Foral de",1997,3,1997T3,814.7
País Vasco,1997,3,1997T3,943.6
"Rioja, La",1997,3,1997T3,615.2
Comunitat Valenciana,1997,3,1997T3,510.5
Andalucía,1997,4,1997T4,516.1
Aragón,1997,4,1997T4,593.0
"Asturias, Principado de",1997,4,1997T4,672.2
"Balears, Illes",1997,4,1997T4,654.0
Canarias,1997,4,1997T4,683.9
Cantabria,1997,4,1997T4,756.5
Castilla y León,1997,4,1997T4,652.5
Castilla-La Mancha,1997,4,1997T4,536.0
Cataluña,1997,4,1997T4,802.5
Comunitat Valenciana,1997,4,1997T4,522.4
Extremadura,1997,4,1997T4,406.4
Galicia,1997,4,1997T4,629.1
"Madrid, Comunidad de",1997,4,1997T4,1065.3
"Murcia, Región de",1997,4,1997T4,450.8
"Navarra, Comunidad Foral de",1997,4,1997T4,797.9
País Vasco,1997,4,1997T4,965.6
"Rioja, La",1997,4,1997T4,613.8
Comunitat Valenciana,1997,4,1997T4,515.4
Andalucía,1998,1,1998T1,527.3
Aragón,1998,1,1998T1,584.1
"Asturias, Principado de",1998,1,1998T1,702.1
"Balears, Illes",1998,1,1998T1,680.5
Canarias,1998,1,1998T1,702.2
Cantabria,1998,1,1998T1,754.8
Castilla y León,1998,1,1998T1,657.4
Castilla-La Mancha,1998,1,1998T1,532.5
Cataluña,1998,1,1998T1,812.2
Comunitat Valenciana,1998,1,1998T1,537.2
Extremadura,1998,1,1998T1,415.6
Galicia,1998,1,1998T1,639.4
"Madrid, Comunidad de",1998,1,1998T1,1070.5
"Murcia, Región de",1998,1,1998T1,464.4
"Navarra, Comunidad Foral de",1998,1,1998T1,802.5
País Vasco,1998,1,1998T1,970.5
"Rioja, La",1998,1,1998T1,601.2
Comunitat Valenciana,1998,1,1998T1,521.6
Andalucía,1998,2,1998T2,537.0
Aragón,1998,2,1998T2,602.0
"Asturias, Principado de",1998,2,1998T2,712.1
"Balears, Illes",1998,2,1998T2,746.6
Canarias,1998,2,1998T2,726.6
Cantabria,1998,2,1998T2,763.0
Castilla y León,1998,2,1998T2,677.1
Castilla-La Mancha,1998,2,1998T2,529.0
Cataluña,1998,2,1998T2,833.4
Comunitat Valenciana,1998,2,1998T2,556.1
Extremadura,1998,2,1998T2,419.8
Galicia,1998,2,1998T2,647.4
"Madrid, Comunidad de",1998,2,1998T2,1054.8
"Murcia, Región de",1998,2,1998T2,470.6
"Navarra, Comunidad Foral de",1998,2,1998T2,800.9
País Vasco,1998,2,1998T2,1002.3
"Rioja, La",1998,2,1998T2,611.0
Comunitat Valenciana,1998,2,1998T2,536.4
Andalucía,1998,3,1998T3,548.1
Aragón,1998,3,1998T3,642.3
"Asturias, Principado de",1998,3,1998T3,714.9
"Balears, Illes",1998,3,1998T3,771.2
Canarias,1998,3,1998T3,744.9
Cantabria,1998,3,1998T3,780.8
Castilla y León,1998,3,1998T3,686.9
Castilla-La Mancha,1998,3,1998T3,531.3
Cataluña,1998,3,1998T3,860.4
Comunitat Valenciana,1998,3,1998T3,566.9
Extremadura,1998,3,1998T3,433.2
Galicia,1998,3,1998T3,658.9
"Madrid, Comunidad de",1998,3,1998T3,1062.7
"Murcia, Región de",1998,3,1998T3,479.3
"Navarra, Comunidad Foral de",1998,3,1998T3,837.7
País Vasco,1998,3,1998T3,1009.6
"Rioja, La",1998,3,1998T3,630.5
Comunitat Valenciana,1998,3,1998T3,545.1
Andalucía,1998,4,1998T4,552.3
Aragón,1998,4,1998T4,658.8
"Asturias, Principado de",1998,4,1998T4,719.2
"Balears, Illes",1998,4,1998T4,795.8
Canarias,1998,4,1998T4,770.9
Cantabria,1998,4,1998T4,787.3
Castilla y León,1998,4,1998T4,694.3
Castilla-La Mancha,1998,4,1998T4,538.4
Cataluña,1998,4,1998T4,883.5
Comunitat Valenciana,1998,4,1998T4,572.3
Extremadura,1998,4,1998T4,438.2
Galicia,1998,4,1998T4,663.5
"Madrid, Comunidad de",1998,4,1998T4,1062.7
"Murcia, Región de",1998,4,1998T4,489.3
"Navarra, Comunidad Foral de",1998,4,1998T4,805.5
País Vasco,1998,4,1998T4,1065.8
"Rioja, La",1998,4,1998T4,638.9
Comunitat Valenciana,1998,4,1998T4,553.7
Andalucía,1999,1,1999T1,567.6
Aragón,1999,1,1999T1,673.7
"Asturias, Principado de",1999,1,1999T1,742.0
"Balears, Illes",1999,1,1999T1,846.8
Canarias,1999,1,1999T1,802.9
Cantabria,1999,1,1999T1,775.9
Castilla y León,1999,1,1999T1,696.7
Castilla-La Mancha,1999,1,1999T1,551.4
Cataluña,1999,1,1999T1,918.3
Comunitat Valenciana,1999,1,1999T1,592.6
Extremadura,1999,1,1999T1,441.6
Galicia,1999,1,1999T1,662.3
"Madrid, Comunidad de",1999,1,1999T1,1075.8
"Murcia, Región de",1999,1,1999T1,491.8
"Navarra, Comunidad Foral de",1999,1,1999T1,827.0
País Vasco,1999,1,1999T1,1090.3
"Rioja, La",1999,1,1999T1,680.9
Comunitat Valenciana,1999,1,1999T1,577.2
Andalucía,1999,2,1999T2,584.3
Aragón,1999,2,1999T2,711.0
"Asturias, Principado de",1999,2,1999T2,767.6
"Balears, Illes",1999,2,1999T2,914.9
Canarias,1999,2,1999T2,833.5
Cantabria,1999,2,1999T2,801.9
Castilla y León,1999,2,1999T2,725.0
Castilla-La Mancha,1999,2,1999T2,553.7
Cataluña,1999,2,1999T2,949.1
Comunitat Valenciana,1999,2,1999T2,619.6
Extremadura,1999,2,1999T2,450.8
Galicia,1999,2,1999T2,668.0
"Madrid, Comunidad de",1999,2,1999T2,1104.5
"Murcia, Región de",1999,2,1999T2,514.1
"Navarra, Comunidad Foral de",1999,2,1999T2,851.5
País Vasco,1999,2,1999T2,1153.9
"Rioja, La",1999,2,1999T2,713.0
Comunitat Valenciana,1999,2,1999T2,603.2
Andalucía,1999,3,1999T3,601.0
Aragón,1999,3,1999T3,715.5
"Asturias, Principado de",1999,3,1999T3,786.1
"Balears, Illes",1999,3,1999T3,973.5
Canarias,1999,3,1999T3,850.3
Cantabria,1999,3,1999T3,845.7
Castilla y León,1999,3,1999T3,736.1
Castilla-La Mancha,1999,3,1999T3,563.2
Cataluña,1999,3,1999T3,974.2
Comunitat Valenciana,1999,3,1999T3,625.0
Extremadura,1999,3,1999T3,457.5
Galicia,1999,3,1999T3,678.3
"Madrid, Comunidad de",1999,3,1999T3,1141.2
"Murcia, Región de",1999,3,1999T3,511.6
"Navarra, Comunidad Foral de",1999,3,1999T3,897.4
País Vasco,1999,3,1999T3,1215.0
"Rioja, La",1999,3,1999T3,710.2
Comunitat Valenciana,1999,3,1999T3,606.9
Andalucía,1999,4,1999T4,610.7
Aragón,1999,4,1999T4,775.3
"Asturias, Principado de",1999,4,1999T4,798.9
"Balears, Illes",1999,4,1999T4,1026.4
Canarias,1999,4,1999T4,877.7
Cantabria,1999,4,1999T4,863.6
Castilla y León,1999,4,1999T4,745.9
Castilla-La Mancha,1999,4,1999T4,580.9
Cataluña,1999,4,1999T4,1014.7
Comunitat Valenciana,1999,4,1999T4,638.5
Extremadura,1999,4,1999T4,462.5
Galicia,1999,4,1999T4,682.9
"Madrid, Comunidad de",1999,4,1999T4,1177.8
"Murcia, Región de",1999,4,1999T4,521.6
"Navarra, Comunidad Foral de",1999,4,1999T4,925.0
País Vasco,1999,4,1999T4,1259.0
