Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Palencia,1995,4,1995T4,563.2
Palmas (Las),1995,4,1995T4,613.1
Pontevedra,1995,4,1995T4,596.7
Salamanca,1995,4,1995T4,673.4
Santa Cruz de Tenerife,1995,4,1995T4,601.1
Segovia,1995,4,1995T4,615.0
Sevilla,1995,4,1995T4,496.9
Soria,1995,4,1995T4,771.3
TOTAL NACIONAL,1995,4,1995T4,692.7
Tarragona,1995,4,1995T4,494.8
Teruel,1995,4,1995T4,475.7
Toledo,1995,4,1995T4,467.8
Valladolid,1995,4,1995T4,679.4
Zamora,1995,4,1995T4,500.5
Zaragoza,1995,4,1995T4,644.1
Ávila,1995,4,1995T4,604.5
Albacete,1996,1,1996T1,443.0
Alicante/Alacant,1996,1,1996T1,469.5
Almería,1996,1,1996T1,460.5
Araba/Alava,1996,1,1996T1,896.1
Badajoz,1996,1,1996T1,398.4
Barcelona,1996,1,1996T1,881.8
Bizkaia,1996,1,1996T1,921.8
Burgos,1996,1,1996T1,737.6
Castellón/Castelló,1996,1,1996T1,473.8
Ciudad Real,1996,1,1996T1,427.3
Coruña (A),1996,1,1996T1,662.5
Cuenca,1996,1,1996T1,468.0
Cáceres,1996,1,1996T1,411.7
Cádiz,1996,1,1996T1,503.5
Córdoba,1996,1,1996T1,498.5
Gipuzkoa,1996,1,1996T1,997.2
Girona,1996,1,1996T1,596.2
Granada,1996,1,1996T1,473.0
Guadalajara,1996,1,1996T1,644.7
Huelva,1996,1,1996T1,515.0
Huesca,1996,1,1996T1,462.3
Jaén,1996,1,1996T1,381.4
León,1996,1,1996T1,508.1
Lleida,1996,1,1996T1,500.4
Lugo,1996,1,1996T1,474.9
Málaga,1996,1,1996T1,507.8
Ourense,1996,1,1996T1,637.6
Palencia,1996,1,1996T1,534.5
Palmas (Las),1996,1,1996T1,619.2
Pontevedra,1996,1,1996T1,571.7
Salamanca,1996,1,1996T1,629.5
Santa Cruz de Tenerife,1996,1,1996T1,599.6
Segovia,1996,1,1996T1,620.1
Sevilla,1996,1,1996T1,492.8
Soria,1996,1,1996T1,734.8
TOTAL NACIONAL,1996,1,1996T1,686.0
Tarragona,1996,1,1996T1,514.8
Teruel,1996,1,1996T1,430.3
Toledo,1996,1,1996T1,457.8
Valladolid,1996,1,1996T1,678.0
Zamora,1996,1,1996T1,510.8
Zaragoza,1996,1,1996T1,644.1
Ávila,1996,1,1996T1,585.7
Albacete,1996,2,1996T2,433.2
Alicante/Alacant,1996,2,1996T2,502.4
Almería,1996,2,1996T2,466.9
Araba/Alava,1996,2,1996T2,903.1
Badajoz,1996,2,1996T2,405.0
Barcelona,1996,2,1996T2,890.5
Bizkaia,1996,2,1996T2,907.1
Burgos,1996,2,1996T2,743.5
Castellón/Castelló,1996,2,1996T2,487.4
Ciudad Real,1996,2,1996T2,428.1
Coruña (A),1996,2,1996T2,687.0
Cuenca,1996,2,1996T2,478.7
Cáceres,1996,2,1996T2,429.0
Cádiz,1996,2,1996T2,502.0
Córdoba,1996,2,1996T2,467.1
Gipuzkoa,1996,2,1996T2,1002.1
Girona,1996,2,1996T2,594.5
Granada,1996,2,1996T2,471.9
Guadalajara,1996,2,1996T2,649.6
Huelva,1996,2,1996T2,518.8
Huesca,1996,2,1996T2,485.9
Jaén,1996,2,1996T2,389.4
León,1996,2,1996T2,552.2
Lleida,1996,2,1996T2,508.1
Lugo,1996,2,1996T2,493.3
Málaga,1996,2,1996T2,521.2
Ourense,1996,2,1996T2,565.8
Palencia,1996,2,1996T2,572.1
Palmas (Las),1996,2,1996T2,630.0
Pontevedra,1996,2,1996T2,560.5
Salamanca,1996,2,1996T2,625.5
Santa Cruz de Tenerife,1996,2,1996T2,590.5
Segovia,1996,2,1996T2,667.7
Sevilla,1996,2,1996T2,506.6
Soria,1996,2,1996T2,727.8
TOTAL NACIONAL,1996,2,1996T2,697.8
Tarragona,1996,2,1996T2,499.4
Teruel,1996,2,1996T2,467.0
Toledo,1996,2,1996T2,457.8
Valladolid,1996,2,1996T2,682.1
Zamora,1996,2,1996T2,508.0
Zaragoza,1996,2,1996T2,608.4
Ávila,1996,2,1996T2,587.9
Albacete,1996,3,1996T3,438.7
Alicante/Alacant,1996,3,1996T3,497.9
Almería,1996,3,1996T3,445.2
Araba/Alava,1996,3,1996T3,945.5
Badajoz,1996,3,1996T3,406.6
Barcelona,1996,3,1996T3,894.8
Bizkaia,1996,3,1996T3,946.3
Burgos,1996,3,1996T3,721.5
Castellón/Castelló,1996,3,1996T3,499.7
Ciudad Real,1996,3,1996T3,448.2
Coruña (A),1996,3,1996T3,681.2
Cuenca,1996,3,1996T3,477.0
Cáceres,1996,3,1996T3,426.4
Cádiz,1996,3,1996T3,510.7
Córdoba,1996,3,1996T3,484.6
Gipuzkoa,1996,3,1996T3,1032.1
Girona,1996,3,1996T3,611.0
Granada,1996,3,1996T3,490.2
Guadalajara,1996,3,1996T3,628.5
Huelva,1996,3,1996T3,518.8
Huesca,1996,3,1996T3,483.4
Jaén,1996,3,1996T3,382.2
León,1996,3,1996T3,551.2
Lleida,1996,3,1996T3,504.8
Lugo,1996,3,1996T3,457.3
Málaga,1996,3,1996T3,517.4
Ourense,1996,3,1996T3,561.9
Palencia,1996,3,1996T3,554.3
Palmas (Las),1996,3,1996T3,633.1
Pontevedra,1996,3,1996T3,571.7
Salamanca,1996,3,1996T3,620.2
Santa Cruz de Tenerife,1996,3,1996T3,602.6
Segovia,1996,3,1996T3,657.5
Sevilla,1996,3,1996T3,496.9
Soria,1996,3,1996T3,707.8
TOTAL NACIONAL,1996,3,1996T3,691.0
Tarragona,1996,3,1996T3,507.1
Teruel,1996,3,1996T3,440.8
Toledo,1996,3,1996T3,465.3
Valladolid,1996,3,1996T3,678.0
Zamora,1996,3,1996T3,504.2
Zaragoza,1996,3,1996T3,624.6
Ávila,1996,3,1996T3,600.1
Albacete,1996,4,1996T4,469.2
Alicante/Alacant,1996,4,1996T4,499.4
Almería,1996,4,1996T4,469.4
Araba/Alava,1996,4,1996T4,950.2
Badajoz,1996,4,1996T4,409.1
Barcelona,1996,4,1996T4,912.2
Bizkaia,1996,4,1996T4,963.4
Burgos,1996,4,1996T4,733.2
Castellón/Castelló,1996,4,1996T4,498.3
Ciudad Real,1996,4,1996T4,436.1
Coruña (A),1996,4,1996T4,713.8
Cuenca,1996,4,1996T4,477.0
Cáceres,1996,4,1996T4,438.6
Cádiz,1996,4,1996T4,504.9
Córdoba,1996,4,1996T4,478.7
Gipuzkoa,1996,4,1996T4,994.7
Girona,1996,4,1996T4,607.7
Granada,1996,4,1996T4,490.2
Guadalajara,1996,4,1996T4,647.9
Huelva,1996,4,1996T4,507.3
Huesca,1996,4,1996T4,488.4
Jaén,1996,4,1996T4,381.4
León,1996,4,1996T4,528.1
Lleida,1996,4,1996T4,503.7
Lugo,1996,4,1996T4,460.7
Málaga,1996,4,1996T4,528.8
Ourense,1996,4,1996T4,552.4
Palencia,1996,4,1996T4,544.4
Palmas (Las),1996,4,1996T4,636.2
Pontevedra,1996,4,1996T4,591.7
Salamanca,1996,4,1996T4,630.8
Santa Cruz de Tenerife,1996,4,1996T4,631.3
Segovia,1996,4,1996T4,669.0
Sevilla,1996,4,1996T4,508.0
Soria,1996,4,1996T4,660.7
TOTAL NACIONAL,1996,4,1996T4,694.4
Tarragona,1996,4,1996T4,505.6
Teruel,1996,4,1996T4,464.4
Toledo,1996,4,1996T4,471.6
Valladolid,1996,4,1996T4,676.6
Zamora,1996,4,1996T4,502.4
Zaragoza,1996,4,1996T4,626.2
Ávila,1996,4,1996T4,611.2
Albacete,1997,1,1997T1,461.6
Alicante/Alacant,1997,1,1997T1,506.9
Almería,1997,1,1997T1,478.3
Araba/Alava,1997,1,1997T1,1004.3
Badajoz,1997,1,1997T1,403.3
Barcelona,1997,1,1997T1,914.4
Bizkaia,1997,1,1997T1,912.0
Burgos,1997,1,1997T1,730.3
Castellón/Castelló,1997,1,1997T1,499.7
Ciudad Real,1997,1,1997T1,424.9
Coruña (A),1997,1,1997T1,663.7
Cuenca,1997,1,1997T1,465.4
Cáceres,1997,1,1997T1,430.7
Cádiz,1997,1,1997T1,513.6
Córdoba,1997,1,1997T1,475.2
Gipuzkoa,1997,1,1997T1,984.7
Girona,1997,1,1997T1,612.6
Granada,1997,1,1997T1,501.7
Guadalajara,1997,1,1997T1,657.6
Huelva,1997,1,1997T1,503.5
Huesca,1997,1,1997T1,484.7
Jaén,1997,1,1997T1,397.4
León,1997,1,1997T1,530.1
Lleida,1997,1,1997T1,518.0
Lugo,1997,1,1997T1,495.9
Málaga,1997,1,1997T1,528.8
Ourense,1997,1,1997T1,595.4
Palencia,1997,1,1997T1,574.0
Palmas (Las),1997,1,1997T1,667.0
Pontevedra,1997,1,1997T1,587.9
Salamanca,1997,1,1997T1,674.7
Santa Cruz de Tenerife,1997,1,1997T1,622.2
Segovia,1997,1,1997T1,643.3
Sevilla,1997,1,1997T1,506.6
Soria,1997,1,1997T1,673.7
TOTAL NACIONAL,1997,1,1997T1,691.0
Tarragona,1997,1,1997T1,494.8
Teruel,1997,1,1997T1,465.3
Toledo,1997,1,1997T1,469.1
Valladolid,1997,1,1997T1,684.9
Zamora,1997,1,1997T1,508.0
Zaragoza,1997,1,1997T1,603.5
Ávila,1997,1,1997T1,607.8
Albacete,1997,2,1997T2,443.0
Alicante/Alacant,1997,2,1997T2,509.9
Almería,1997,2,1997T2,473.2
Araba/Alava,1997,2,1997T2,1020.7
Badajoz,1997,2,1997T2,408.2
Barcelona,1997,2,1997T2,921.0
Bizkaia,1997,2,1997T2,934.0
Burgos,1997,2,1997T2,784.5
Castellón/Castelló,1997,2,1997T2,505.2
Ciudad Real,1997,2,1997T2,432.9
Coruña (A),1997,2,1997T2,650.9
Cuenca,1997,2,1997T2,461.8
Cáceres,1997,2,1997T2,433.4
Cádiz,1997,2,1997T2,520.8
Córdoba,1997,2,1997T2,476.4
Gipuzkoa,1997,2,1997T2,989.7
Girona,1997,2,1997T2,622.5
Granada,1997,2,1997T2,520.1
Guadalajara,1997,2,1997T2,657.6
Huelva,1997,2,1997T2,516.3
Huesca,1997,2,1997T2,489.6
Jaén,1997,2,1997T2,393.4
León,1997,2,1997T2,540.1
Lleida,1997,2,1997T2,512.5
Lugo,1997,2,1997T2,468.2
Málaga,1997,2,1997T2,544.1
Ourense,1997,2,1997T2,600.2
Palencia,1997,2,1997T2,561.2
Palmas (Las),1997,2,1997T2,700.9
Pontevedra,1997,2,1997T2,616.7
Salamanca,1997,2,1997T2,685.4
Santa Cruz de Tenerife,1997,2,1997T2,644.9
Segovia,1997,2,1997T2,653.6
Sevilla,1997,2,1997T2,510.8
Soria,1997,2,1997T2,731.3
TOTAL NACIONAL,1997,2,1997T2,726.4
Tarragona,1997,2,1997T2,505.6
Teruel,1997,2,1997T2,494.1
Toledo,1997,2,1997T2,477.8
Valladolid,1997,2,1997T2,661.6
Zamora,1997,2,1997T2,499.5
Zaragoza,1997,2,1997T2,600.3
Ávila,1997,2,1997T2,600.1
Albacete,1997,3,1997T3,479.0
Alicante/Alacant,1997,3,1997T3,518.8
Almería,1997,3,1997T3,499.9
Araba/Alava,1997,3,1997T3,990.1
Badajoz,1997,3,1997T3,395.1
Barcelona,1997,3,1997T3,929.7
Bizkaia,1997,3,1997T3,934.0
Burgos,1997,3,1997T3,758.1
Castellón/Castelló,1997,3,1997T3,507.9
Ciudad Real,1997,3,1997T3,443.4
Coruña (A),1997,3,1997T3,657.9
Cuenca,1997,3,1997T3,458.2
Cáceres,1997,3,1997T3,421.2
Cádiz,1997,3,1997T3,515.1
Córdoba,1997,3,1997T3,490.4
Gipuzkoa,1997,3,1997T3,962.3
Girona,1997,3,1997T3,625.8
Granada,1997,3,1997T3,490.2
Guadalajara,1997,3,1997T3,635.0
Huelva,1997,3,1997T3,517.6
Huesca,1997,3,1997T3,492.1
Jaén,1997,3,1997T3,389.4
León,1997,3,1997T3,551.2
Lleida,1997,3,1997T3,510.3
Lugo,1997,3,1997T3,456.5
Málaga,1997,3,1997T3,551.8
Ourense,1997,3,1997T3,626.1
Palencia,1997,3,1997T3,572.1
Palmas (Las),1997,3,1997T3,697.8
Pontevedra,1997,3,1997T3,604.2
Salamanca,1997,3,1997T3,681.4
Santa Cruz de Tenerife,1997,3,1997T3,654.0
Segovia,1997,3,1997T3,644.6
Sevilla,1997,3,1997T3,516.3
Soria,1997,3,1997T3,694.8
TOTAL NACIONAL,1997,3,1997T3,726.4
Tarragona,1997,3,1997T3,501.0
Teruel,1997,3,1997T3,481.8
Toledo,1997,3,1997T3,475.3
Valladolid,1997,3,1997T3,654.7
Zamora,1997,3,1997T3,516.5
Zaragoza,1997,3,1997T3,603.5
Ávila,1997,3,1997T3,613.4
Albacete,1997,4,1997T4,474.7
Alicante/Alacant,1997,4,1997T4,512.9
Almería,1997,4,1997T4,498.7
Araba/Alava,1997,4,1997T4,1039.5
Badajoz,1997,4,1997T4,392.6
Barcelona,1997,4,1997T4,940.6
Bizkaia,1997,4,1997T4,953.6
Burgos,1997,4,1997T4,769.9
Castellón/Castelló,1997,4,1997T4,516.1
Ciudad Real,1997,4,1997T4,438.6
Coruña (A),1997,4,1997T4,690.5
Cuenca,1997,4,1997T4,451.1
Cáceres,1997,4,1997T4,428.1
Cádiz,1997,4,1997T4,512.2
Córdoba,1997,4,1997T4,484.6
Gipuzkoa,1997,4,1997T4,977.2
Girona,1997,4,1997T4,630.8
Granada,1997,4,1997T4,506.3
Guadalajara,1997,4,1997T4,641.5
Huelva,1997,4,1997T4,524.0
Huesca,1997,4,1997T4,489.6
Jaén,1997,4,1997T4,390.2
León,1997,4,1997T4,554.2
Lleida,1997,4,1997T4,509.2
Lugo,1997,4,1997T4,471.6
Málaga,1997,4,1997T4,542.2
Ourense,1997,4,1997T4,626.1
Palencia,1997,4,1997T4,567.1
Palmas (Las),1997,4,1997T4,702.4
Pontevedra,1997,4,1997T4,591.7
Salamanca,1997,4,1997T4,657.4
Santa Cruz de Tenerife,1997,4,1997T4,666.0
Segovia,1997,4,1997T4,657.5
Sevilla,1997,4,1997T4,506.6
Soria,1997,4,1997T4,691.3
TOTAL NACIONAL,1997,4,1997T4,702.8
Tarragona,1997,4,1997T4,527.2
Teruel,1997,4,1997T4,467.0
Toledo,1997,4,1997T4,464.1
Valladolid,1997,4,1997T4,679.4
Zamora,1997,4,1997T4,522.1
Zaragoza,1997,4,1997T4,621.3
Ávila,1997,4,1997T4,595.6
Albacete,1998,1,1998T1,479.0
Alicante/Alacant,1998,1,1998T1,530.8
Almería,1998,1,1998T1,505.0
Araba/Alava,1998,1,1998T1,1072.5
Badajoz,1998,1,1998T1,397.6
Barcelona,1998,1,1998T1,951.4
Bizkaia,1998,1,1998T1,960.9
Burgos,1998,1,1998T1,762.5
Castellón/Castelló,1998,1,1998T1,537.9
Ciudad Real,1998,1,1998T1,432.1
Coruña (A),1998,1,1998T1,711.4
Cuenca,1998,1,1998T1,435.9
Cáceres,1998,1,1998T1,445.5
Cádiz,1998,1,1998T1,533.9
Córdoba,1998,1,1998T1,470.6
Gipuzkoa,1998,1,1998T1,979.7
Girona,1998,1,1998T1,640.6
Granada,1998,1,1998T1,510.9
Guadalajara,1998,1,1998T1,659.2
Huelva,1998,1,1998T1,534.2
Huesca,1998,1,1998T1,487.1
Jaén,1998,1,1998T1,395.8
León,1998,1,1998T1,581.2
Lleida,1998,1,1998T1,523.5
Lugo,1998,1,1998T1,474.1
Málaga,1998,1,1998T1,547.9
Ourense,1998,1,1998T1,623.2
Palencia,1998,1,1998T1,591.8
Palmas (Las),1998,1,1998T1,733.2
Pontevedra,1998,1,1998T1,600.4
Salamanca,1998,1,1998T1,653.4
Santa Cruz de Tenerife,1998,1,1998T1,664.5
Segovia,1998,1,1998T1,651.0
Sevilla,1998,1,1998T1,532.9
Soria,1998,1,1998T1,760.7
TOTAL NACIONAL,1998,1,1998T1,716.3
Tarragona,1998,1,1998T1,513.3
Teruel,1998,1,1998T1,465.3
Toledo,1998,1,1998T1,470.3
Valladolid,1998,1,1998T1,682.1
Zamora,1998,1,1998T1,516.5
Zaragoza,1998,1,1998T1,610.0
Ávila,1998,1,1998T1,604.5
Albacete,1998,2,1998T2,477.9
Alicante/Alacant,1998,2,1998T2,562.2
Almería,1998,2,1998T2,524.1
Araba/Alava,1998,2,1998T2,1117.2
Badajoz,1998,2,1998T2,407.4
Barcelona,1998,2,1998T2,986.3
Bizkaia,1998,2,1998T2,997.6
Burgos,1998,2,1998T2,856.4
Castellón/Castelló,1998,2,1998T2,540.7
Ciudad Real,1998,2,1998T2,420.9
Coruña (A),1998,2,1998T2,708.0
Cuenca,1998,2,1998T2,455.6
Cáceres,1998,2,1998T2,443.8
Cádiz,1998,2,1998T2,545.4
Córdoba,1998,2,1998T2,485.7
Gipuzkoa,1998,2,1998T2,997.2
Girona,1998,2,1998T2,658.8
Granada,1998,2,1998T2,527.0
Guadalajara,1998,2,1998T2,675.4
Huelva,1998,2,1998T2,547.0
Huesca,1998,2,1998T2,490.9
Jaén,1998,2,1998T2,395.8
León,1998,2,1998T2,569.2
Lleida,1998,2,1998T2,521.3
Lugo,1998,2,1998T2,469.9
Málaga,1998,2,1998T2,568.9
Ourense,1998,2,1998T2,642.3
Palencia,1998,2,1998T2,570.1
Palmas (Las),1998,2,1998T2,762.5
Pontevedra,1998,2,1998T2,621.7
Salamanca,1998,2,1998T2,693.3
Santa Cruz de Tenerife,1998,2,1998T2,685.7
Segovia,1998,2,1998T2,678.0
Sevilla,1998,2,1998T2,526.0
Soria,1998,2,1998T2,767.7
TOTAL NACIONAL,1998,2,1998T2,761.8
Tarragona,1998,2,1998T2,521.0
Teruel,1998,2,1998T2,469.6
Toledo,1998,2,1998T2,477.8
Valladolid,1998,2,1998T2,690.3
Zamora,1998,2,1998T2,528.7
Zaragoza,1998,2,1998T2,634.3
Ávila,1998,2,1998T2,626.7
Albacete,1998,3,1998T3,489.9
Alicante/Alacant,1998,3,1998T3,586.1
Almería,1998,3,1998T3,538.1
Araba/Alava,1998,3,1998T3,1145.4
Badajoz,1998,3,1998T3,426.3
Barcelona,1998,3,1998T3,1012.4
Bizkaia,1998,3,1998T3,987.8
Burgos,1998,3,1998T3,849.0
Castellón/Castelló,1998,3,1998T3,544.8
Ciudad Real,1998,3,1998T3,417.6
Coruña (A),1998,3,1998T3,713.8
Cuenca,1998,3,1998T3,481.4
Cáceres,1998,3,1998T3,449.0
Cádiz,1998,3,1998T3,559.9
Córdoba,1998,3,1998T3,503.2
Gipuzkoa,1998,3,1998T3,1032.1
Girona,1998,3,1998T3,668.6
Granada,1998,3,1998T3,522.4
Guadalajara,1998,3,1998T3,665.7
Huelva,1998,3,1998T3,548.3
Huesca,1998,3,1998T3,551.8
Jaén,1998,3,1998T3,409.3
León,1998,3,1998T3,581.2
Lleida,1998,3,1998T3,547.7
Lugo,1998,3,1998T3,485.0
Málaga,1998,3,1998T3,578.5
Ourense,1998,3,1998T3,644.3
Palencia,1998,3,1998T3,613.5
Palmas (Las),1998,3,1998T3,759.4
Pontevedra,1998,3,1998T3,630.4
Salamanca,1998,3,1998T3,697.3
Santa Cruz de Tenerife,1998,3,1998T3,726.5
Segovia,1998,3,1998T3,697.3
Sevilla,1998,3,1998T3,534.3
Soria,1998,3,1998T3,756.0
TOTAL NACIONAL,1998,3,1998T3,777.0
Tarragona,1998,3,1998T3,556.4
Teruel,1998,3,1998T3,494.9
Toledo,1998,3,1998T3,485.3
Valladolid,1998,3,1998T3,705.4
Zamora,1998,3,1998T3,525.9
Zaragoza,1998,3,1998T3,671.6
Ávila,1998,3,1998T3,617.8
Albacete,1998,4,1998T4,504.1
Alicante/Alacant,1998,4,1998T4,581.6
Almería,1998,4,1998T4,529.2
Araba/Alava,1998,4,1998T4,1272.4
Badajoz,1998,4,1998T4,432.1
Barcelona,1998,4,1998T4,1038.5
Bizkaia,1998,4,1998T4,1051.4
Burgos,1998,4,1998T4,856.4
Castellón/Castelló,1998,4,1998T4,555.7
Ciudad Real,1998,4,1998T4,439.4
Coruña (A),1998,4,1998T4,723.1
Cuenca,1998,4,1998T4,469.8
Cáceres,1998,4,1998T4,457.6
Cádiz,1998,4,1998T4,555.6
Córdoba,1998,4,1998T4,504.4
Gipuzkoa,1998,4,1998T4,1049.5
Girona,1998,4,1998T4,667.0
Granada,1998,4,1998T4,531.6
Guadalajara,1998,4,1998T4,730.3
Huelva,1998,4,1998T4,556.0
Huesca,1998,4,1998T4,553.0
Jaén,1998,4,1998T4,417.3
León,1998,4,1998T4,573.2
Lleida,1998,4,1998T4,544.4
Lugo,1998,4,1998T4,486.6
Málaga,1998,4,1998T4,603.3
Ourense,1998,4,1998T4,650.0
Palencia,1998,4,1998T4,609.6
Palmas (Las),1998,4,1998T4,787.1
Pontevedra,1998,4,1998T4,645.4
Salamanca,1998,4,1998T4,742.6
Santa Cruz de Tenerife,1998,4,1998T4,750.6
Segovia,1998,4,1998T4,719.2
Sevilla,1998,4,1998T4,544.0
Soria,1998,4,1998T4,738.3
TOTAL NACIONAL,1998,4,1998T4,756.7
Tarragona,1998,4,1998T4,567.2
Teruel,1998,4,1998T4,493.2
Toledo,1998,4,1998T4,494.0
Valladolid,1998,4,1998T4,704.0
Zamora,1998,4,1998T4,525.0
Zaragoza,1998,4,1998T4,702.5
